https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1616025600000,2021-03-18 00:00:00,BAT/USDT,1.23783469,1.37,1.183,1.20496597,113056.3308550202065974,89750.37595206,0,0,0,1.25967529
1615939200000,2021-03-17 00:00:00,BAT/USDT,1.04553901,1.35103716,0.942,1.22097071,185831.452625365352085,161702.3774757,0,0,0,1.14921905
1615852800000,2021-03-16 00:00:00,BAT/USDT,0.76631132,1.18,0.73085323,1.03374237,131978.902978144921104,138857.38693155,0,0,0,0.95046368
1615766400000,2021-03-15 00:00:00,BAT/USDT,0.76576895,0.80591836,0.72280769,0.75937674,20769.7563721724319135,27302.95304839,0,0,0,0.76071465
1615680000000,2021-03-14 00:00:00,BAT/USDT,0.81426736,0.85489795,0.76918367,0.76918367,19597.339870762358355,24577.4341365,0,0,0,0.79737127
1615593600000,2021-03-13 00:00:00,BAT/USDT,0.75081632,0.832385,0.725,0.81204081,19235.644549822823661,24592.84234806,0,0,0,0.78216435
1615507200000,2021-03-12 00:00:00,BAT/USDT,0.79979591,0.81204081,0.7332,0.75693877,16163.7328755174404075,21120.78461525,0,0,0,0.76529983
1615420800000,2021-03-11 00:00:00,BAT/USDT,0.82176447,0.85798636,0.78,0.80591836,29090.445929174692511,36442.0925663,0,0,0,0.79826497
1615334400000,2021-03-10 00:00:00,BAT/USDT,0.7508163,0.88064985,0.69571428,0.82730194,49855.6032793153954416,61900.87159956,0,0,0,0.80541036
1615248000000,2021-03-09 00:00:00,BAT/USDT,0.74469387,0.76,0.70668532,0.74469387,12153.0842045394069742,16705.11837341,0,0,0,0.72750662
1615161600000,2021-03-08 00:00:00,BAT/USDT,0.69722671,0.73892939,0.66510204,0.73572417,10997.852912652156768,15898.9252464,0,0,0,0.69173562
1615075200000,2021-03-07 00:00:00,BAT/USDT,0.67122447,0.72632653,0.66210075,0.69721523,21067.2081767621290652,30514.38084332,0,0,0,0.69040261
1614988800000,2021-03-06 00:00:00,BAT/USDT,0.68284354,0.69693156,0.63754424,0.67122448,13936.5800284857477815,20910.79814945,0,0,0,0.66647767
1614902400000,2021-03-05 00:00:00,BAT/USDT,0.69784239,0.72571642,0.635,0.68256886,29724.074510694014341,44223.82685962,0,0,0,0.67212805
1614816000000,2021-03-04 00:00:00,BAT/USDT,0.76306122,0.79556141,0.66510206,0.69871327,42357.8646043434414197,58895.53623487,0,0,0,0.71920331
1614729600000,2021-03-03 00:00:00,BAT/USDT,0.59904321,0.83653061,0.59460014,0.7634708,107581.3727775403391896,145095.89259181,0,0,0,0.74145016
1614643200000,2021-03-02 00:00:00,BAT/USDT,0.58869564,0.62864767,0.55608695,0.59847828,34002.0953376799143774,56487.54032701,0,0,0,0.60193974
1614556800000,2021-03-01 00:00:00,BAT/USDT,0.53092242,0.59521739,0.52192274,0.58543478,12240.8695164826437632,22029.78953216,0,0,0,0.55565077
